,name,net_price,date
156,Kilback -Gerlach,928.59,2014 -04-26 03:39:28
157,Huel -Haag,140.22,2013 -10-22 22:50:47
158,Kilback -Gerlach,571.14,2014 -06-28 01:20:04
159,Waelchi -Fahey,154.76,2014 -02-14 02:42:30
160,Koelpin PLC,48.66,2014 -07-11 08:17:44
161,Carroll PLC,951.75,2014 -10-12 09:08:07
162,Hegmann and Sons,1325.40,2014 -10-05 01:36:59
163,Gorczany -Hahn,128.88,2014 -08-06 01:09:28
164,Kunze Inc,533.61,2013 -11-06 02:36:22
165,Hegmann and Sons,309.15,2014 -05-26 03:15:30
166,Cole -Eichmann,330.30,2013 -12-27 08:33:09
167,Berge LLC,1683.78,2014 -01-29 06:44:37
168,Kunze Inc,232.56,2014 -09-18 05:56:57
169,Cole -Eichmann,123.50,2014 -07-05 01:51:03
170,Waelchi -Fahey,334.04,2014 -09-30 12:37:58
171,Waelchi -Fahey,217.29,2014 -10-03 23:46:12
172,Carroll PLC,914.60,2013 -11-24 08:11:02
173,Kunze Inc,1438.30,2014 -02-15 14:11:02
174,Waters -Walker,298.26,2014 -01-27 11:30:33
175,Huel -Haag,680.58,2013 -12-18 14:27:30
176,Waters -Walker,863.94,2013 -12-28 22:14:49
177,Kilback -Gerlach,580.65,2014 -08-05 11:34:16
178,Koelpin PLC,571.06,2014 -01-16 02:43:35
179,Huel -Haag,270.0 6,2014 -08-29 23:41:16
180,Hamill -Hackett,99.97,2014 -05-10 12:10:10
181,Kilback -Gerlach,1063.26,2014 -02-13 11:43:17
182,Gorczany -Hahn,963.00,2013 -11-06 05:25:34
183,Carroll PLC,1179.97,2014 -09-11 02:20:46
184,Kunze Inc,1573.56,2014 -05-31 04:28:20
185,Kunze Inc,1486.80,2014 -01-27 19:42:12
186,Kunze Inc,1083.60,2014 -08-16 21:03:22
187,Berge LLC,882.75,2014 -08-22 04:35:06
188,Koelpin PLC,403.9 5,2014 -01-24 10:23:39
189,Waters -Walker,1151.52,2014 -06-12 00:58:43
190,Berge LLC,704.10,2014 -05-23 13:09:21
191,Kil back -Gerlach,429.22,2013 -12-08 14:04:38
192,Berge LLC,67.84,2014 -06-27 15:53:05
193,Koelpin PLC,50. 84,2014 -03-21 17:57:32
194,Huel -Haag,753.00,2013 -12-29 14:24:05
195,Koelpin PLC,1079.40,2013 -12-28 16:19:22
196,Hegmann and Sons,181.36,2013 -12-30 14:16:13
197,Berge LLC,326.97,2014 -06-15 15:52:58
198,Waelchi -Fahey,1282.82,2013 -11-17 15:36:57
199,Kilback -Gerlach,781.22,2014 -01-14 18:43:44
200,Berge LLC,1156.50,2013 -12-07 11:53:40
201,Koelpin PLC,1340.78,2014 -05-04 10:45:11
202,Kunze Inc,195.02,2014 -01-23 17:49:03
203,Koelpin PLC,302.55,2014 -10-22 07:16:46
204,Carroll PLC,207.90,2014 -03-29 08:13:19
205,Berge LLC,1073.76,2014 -05-23 06:43:54
206,Kunze Inc,36.58,2014 -01-16 20:23:03
207,Huel -Haag,23.12,2014 -10-17 20:09:53
208,Waelchi -Fahey,750.40,2014 -09-14 11:01:14
209,Koelpin PLC,166.00,2014 -09-04 23:45:59
210,Berge LLC,60.88,2013 -11-15 07:17:16
211,Berge LLC,690.43,2014 -08-29 16:34:09
212,Gorczany -Hahn,90.21,2014 -01-30 17: 16:08
213,Hamill -Hackett,307.24,2014 -09-06 20:28:27
214,Heidenreich -Bosco,1042.27,2014 -03-19 02:46:57
215,Hegmann and Sons,231.00,2014 -02-04 19:29:41
216,Cole -Eichmann,146.48,2014 -08-11 23:29:08
217,Hegmann and Sons,427.32,2014 -06-18 06:31:15
218,Waters -Walker,995.35,2014 -05-04 23:02:26
219,Koelpin PLC,556.64,2014 -04-03 01:34:49
220,Hamill -Hackett,673.60,2014 -07-15 04:34:11
221,Cole -Eichmann,1174.87,2014 -09-23 05:58:41
222,Berge LLC,385.00,2014 -07-09 19:18:49
223,Heidenreich -Bosco,1284.12,2013 -11-17 00:18:08
224,Kilback -Gerlach,628.90,2014 -03-04 07:23:35
225,Carroll PLC,580.95,2014 -02-03 03:57:26
226,Carroll PLC,1457.4 4,2014 -03-18 23:14:03
227,Hegmann and Sons,789.36,2014 -01-18 22:40:14
228,Koelpin PLC,192.39,2014 -08-07 15:28:03
229,Hamill -Hackett,73.74,2014 -09-04 10:46:25
230,Kunze Inc,690.08,2014 -08-10 20:15:29
231,Hamill -Hackett,186.32,2014 -01-19 22:01:00
232,Gorczany -Hahn,1502.63,2014 -07-31 12:28:26
233,Heidenreich -Bosco,1880.00,2014 -05-31 22:53:56
234,Kunze Inc,761.20,2014 -03-14 03:16:51
235,Cole -Eichmann,216.80,2014 -08-28 06:28:19
236,Hamill -Hackett,128.13,2014 -06-09 12:21:47
237,Heidenreich -Bosco,198.72,2014 -01-21 05:08:12
238,Heidenreich -Bosco,82.28,2014 -10-05 08:28:30
239,Hamill -Hackett,710.08,2014 -09-16 05:22:44
240,Waters -Walker,274.80,2013 -11-18 19:41:31
241,Hegmann and Sons,198.6 4,2014 -07-26 14:07:00
242,Kilback -Gerlach,566.72,2014 -07-10 06:12:22
243,Koelpin PLC,116.90,2014 -07-26 09:33:15
244,Kilback -Gerlach,54.04,2014 -06-09 20:05:03
245,Berge LLC,429.42,2014 -06-16 10:03:35
246,Kunze Inc,138.00,2013 -10-25 11:42:04
247,Hamill -Hackett,278.08,2 013-11-19 02:20:09
248,Berge LLC,93.10,2013 -12-25 10:00:14
249,Kilback -Gerlach,810.18,2014 -08-22 13:18:26
250,Hamill -Hackett,526.96,2014 -02-15 06:51:00
251,Carroll PLC,609.12,2014 -05-22 05:51:16
252,Waelchi -Fahey,294.30,2013 -11-24 23:33:56
253,Waelchi -Fahey,1056.86,2014 -02-18 02:07:31
254,Gorczany -Hahn,570.48,2014 -02-01 01:28:20
255,Huel -Haag,1 023.52,2014 -02-06 19:14:35
256,Waters -Walker,265.44,2014 -09-07 02:26:24
257,Gorczany -Hahn,157.71,2014 -08-15 13:23:42
258,Waters -Walker,597.61,2014 -07-05 08:56:46
259,Carroll PLC,374.00,2014 -05-05 05:17:28
260,Cole -Eichmann,497.64,2014 -08-06 01:25:27
261,Berge LLC,27 4.41,2014 -03-02 13:04:07
262,Waelchi -Fahey,38.20,2013 -11-23 15:45:41
263,Kunze Inc,578.32,2014 -02-15 21:05:44
264,K unze Inc,1220.60,2013 -12-23 23:07:45
265,Hamill -Hackett,552.78,2014 -10-16 12:50:55
266,Huel -Haag,1100.75,2014 -09-13 02:51:49
267,Carroll PLC,805.76,2014 -01-03 07:56:48
268,Hamill -Hackett,214.65,2014 -02-16 04:42:01
269,Cole -Eichmann,150.96,2014 -03-21 08:21:18
270,Koelpin PLC,498.84,2014 -05-22 08:56:14
271,Waelchi -Fahey,774.67,2013 -12-04 04:11:33
272,Hegmann and Sons,1254.20,2014 -03-06 22:55:08
273,Gorczany -Hahn,606.08,2013 -12-05 07:33:43
274,Waelchi -Fahey,42 .83,2013 -11-05 05:06:14
275,Berge LLC,1294.21,2013 -11-25 14:33:27
276,Koelpin PLC,164.36,2014 -08-24 20:22:11
277,Waelchi -Fahey,394.08,2014 -09-13 15:23:40
278,Carroll PLC,54.05,2014 -08-28 00:56:58
279,Gorczany -Hahn,26.19,2014 -01-10 05:09:07
280,Gorczany -Hahn,583.56,2014 -09-17 06:25:26
281,Kilback -Gerlach,281.65,2014 -09-06 01:57:32
282,Huel -Haag,875.38,2013 -11-21 04:46:33
283,Kunze Inc,705.96,2013 -12-18 17:23:54
284,Cole -Eichmann,821.55,2013 -11-14 11:15:21
285,Heidenreich -Bosco,1101.75,2014 -01-03 12:09:44
286,Hegmann and Sons,689.85,2014 -01-21 14:40:49
287,Hegmann and Sons,987.80,2014 -03-14 06:17:28
288,Berge LLC,254.96,2014 -08-31 19:57:31
289,Carroll PLC,327.15,2014 -01-17 22:03:57
290,Carroll PLC,49.12,2014 -04-03 06:43:35
291,Waelchi -Fahey,644.20,2014 -09-05 03:46:20
292,Hegmann and Sons,336.55,2013 -12-16 09:59:38
293,Hegmann and Sons,419.90,2014 -05-24 20:18:52
294,Carroll PLC,552.51,2014 -07-15 13:04:50
295,Waelchi -Fahey,962.91,2014 -01-13 12:18:04
296,Cole -Eichmann,1413.12,2014 -06-17 22:27:38
297,Heidenreich -Bosco,1054 .08,2014 -08-25 17:52:34
298,Kunze Inc,206.70,2014 -09-13 01:40:40
299,Cole -Eichmann,755.25,2014 -05-23 15:58:55
300,Waters -Walker,915.42,2014 -01-03 19:04:02
301,Waelchi -Fahey,291.90,2014 -01-14 22:56:55
302,Hegmann and Sons,891.20,2014 -02-11 11:05:35
303,Koelpin PLC,60.96,2014 -09-12 06:29:42
304,Gorczany -Hahn,66.03,2014 -03-06 19:04:47
305,Cole -Eichmann,767.92,2014 -02-28 06:46:39
306,Kilback -Gerlach,329.22,2014 -05-28 10:39:07
307,Cole -Eichmann,283.26,2014 -01-27 15:50:35
308,Kunze Inc,453.30,2013 -10-23 00:45:16
309,Carroll PLC,546.12,2014 -06-21 11:50:51
310,Cole -Eichmann,329.98,2014 -04-11 23:10:59
311,Kunze Inc,367.77,2014 -05-14 11:34:59
312,Huel -Haag,230.37,2014 -03-21 02:07:18
313,Koelpin PLC,318.20,2014 -05-10 12:48:18
314,Hamill -Hackett,893.64,2014 -03-22 00:45:00
315,Hami ll-Hackett,437.52,2014 -04-30 13:50:54
316,Cole -Eichmann,980.42,2013 -12-31 09:37:47
317,Waters -Walker,903.07,2014 -03-10 16:34:16
318,Kilback -Gerlach,1594.40,2014 -10-06 23:33:32
319,Berge LLC,835.04,2014 -02-24 20:49:28
320,Hamill -Hackett,312.3 6,2014 -02-04 19:46:55
321,Huel -Haag,1170.40,2013 -11-21 18 :37:52
322,Heidenreich -Bosco,490.20,2014 -10-04 16:06:25
323,Hegmann and Sons,338.88,2013 -10-22 13:54:50
324,Cole -Eichmann,159.74,2014 -08-15 04:36:37
325,Waters -Walker,416.50,2014 -04-29 12:04:58
326,Waelchi -Fahey,938.14,2013 -12-13 15:04:13
327,Koelpin PLC,308.80,2013 -10-30 04:16:24
328,Carroll PLC,445.52,2014 -01-02 21:35:10
329, Huel-Haag,945.75,2013 -11-02 06:09:13
330,Huel -Haag,1438.20,2014 -02-14 02:11:56
331,Carroll PLC,1495.68,2014 -08-01 13:54:15
332,Kunze Inc,356.48,2014 -10-01 13:21:06
333,Kilback -Gerlach,1754.46,2014 -05-13 03:41:20
334,Waters -Walker,683.93,2014 -01-31 10:14:51
335,Kilback -Gerlach,363.00,2013 -10-27 22:03:05
336,Waelchi -Fahey,150.99,2014 -02-25 05:11:55
337,Heidenreich -Bosco,576.12,2013 -12-25 18:02:41
338,Koelpin PLC,929.18,2013 -11-05 13:34:42
339,Hamill -Hackett,179.55,2013 -10-26 04:33:08
340,Hegmann and Sons,133.26,2013 -12-07 04:15:11
341,Berge LLC,754.96,2013 -12-31 01:14:11
342,Berge LLC,74.20,2014 -10-04 18:30:12
343,Waelchi -Fahey,78.95,2014 -09-01 04:34:57
344,Waelchi -Fahey,535.99,2014 -09-01 21:04:49
345,Koelpin PLC,439.70,2014 -10-03 17 :04:10
346,Hamill -Hackett,354.00,2014 -08-26 02:03:17
347,Kunze Inc,70.52,2013 -11-06 15:35:14
348,Gorczany -Hahn,61.73,2013 -12-19 05:37:56
349,Heidenreich -Bosco,767.80,2013 -11-18 22:22:57
350,Berge LLC,66 0.55,2014 -09-28 12:19:39
351,Waelchi -Fahey,393.21,2014 -03-12 02:19:35
352,Hamill -Hackett,1244.34,2014 -02-11 23:45:29
353,Huel -Haag,282.54,2014 -09-09 20:05:35
354,Hegmann and Sons,1367.14,2014 -05-13 03:46:45
355,Kunze Inc,409.89,2014 -06-12 12:09:39
356,Kunze Inc,73.79,2013 -11-07 19:52:06
357,Carroll PLC,32.01,2014 -05-30 21:32:51
358,Waters -Walker,1013.27,2014 -05-31 08:48:28
359,Ca rroll PLC,994.14,2013 -12-02 17:42:51
360,Carroll PLC,545.37,2014 -10-17 14:13:45
361,Cole -Eichmann,576.20,2014 -03-19 16:59:03
362,Carroll PLC,226.56,2014 -10-01 04:15:37
363,Waelchi -Fahey,177.14,2014 -06-16 02:35:22
364,Hegmann and Sons,578.38,2014 -01-22 08:06:36
365,Berge LLC,405.46,2014 -01-01 08:13:10
366,Cole -Eichmann,260. 35,2014 -09-17 06:06:34
367,Kilback -Gerlach,279.10,2014 -05-24 05:01:20
368,Berge LLC,386.08,2013 -12-20 01:56:23
369,Waters -Walker,1247.80,2014 -04-19 16:00:54
370,Hegmann and Sons,1478.10,2014 -09-04 06:01:32
371,Waelchi -Fahey,300.45,2014 -09-06 09:47:38
372,Waters -Walker,1212.44,2014 -09-16 10:45:19
373,Kilback -Gerlach,550.40,2014 -08-19 17:39:10
374,Waters -Walker,1812.03,2014 -05-20 09:39:21
375,Cole -Eichmann,254.40,2014 -02-15 03:16:45
376,Hegmann and Sons,171.12,2014 -03-07 04:28:42
377,Cole -Eichmann,524.10,2013 -12-12 21:41:39
378,Berge LLC,1046.50,2014 -02-06 23:35:03
379,Koelpin PLC,884.40,2014 -03-12 01:27:20
380,Waters -Walker,757.20,2014 -01-31 09:09:36
381,Koelpin PLC,1 445.71,2014 -08-04 04:24:32
382,Waters -Walker,590.46,2013 -12-29 21:47:14
383,Koelpin PLC,659.70,2014 -03-19 04:16:23
384,Koelpin PLC,40.12,2014 -05-31 02:07:45
385,Carroll PLC,186.75,2014 -03-26 00:33:22
386,Waelchi -Fahey,517.20,2013 -11-14 19:38:21
387,Gorczany -Hahn,100.60, 2014 -03-08 10:50:44
388,Hegmann and Sons,93.93,2014 -03-18 14:44:49
389,Hamill -Hackett,524.88,2013 -12-16 15:10:41
390,Carroll PLC,467.84,2014 -05-31 00:30:56
391,Waters -Walker ,999.40,2014 -04-28 20:35:33
392,Kilback -Gerlach,729.22,2014 -05-25 09:18:43
393,Berge LLC,794.20,2013 -11-13 21:15:53
394,Waelchi -Fahey,419.12,2013 -12-22 05:25:56
395,Waelchi -Fahey,365.15,2014 -01-23 12:48:34
396,Carroll PLC,366.41,2014 -07-29 15:09:19
397,Huel -Haag,226.20,2013 -12-12 03:58:09
398,Huel -Haag,1635.80,2014 -09-23 04:52:44
399,Hegmann and Sons,641.7 6,2013 -11-10 14:15:25
400,Carroll PLC,1328.60,2013 -12-30 09:47:58
401,Waelchi -Fahey,1095.38,2014 -08-16 12:51:50
402,Kunze Inc,383.04,2014 -01-06 17:32:46
403,Berge LLC,105.24,2014 -08-19 04:51:46
404,Gorczany -Hahn,1360.59,2014 -06-11 12:52:36
405,Cole -Eichmann,1572.33,2013 -12-30 08:52:54
406,Waters -Walker,796.92,2014 -04-02 00:13:13
407,Cole -Eichmann,693.16,2013 -11-09 01:35:47
408,Berge LLC,1364.58,2013 -12-08 08:54:42
409,Cole -Eichmann,359.52,2014 -06-28 09:15:38
410,Hegmann and Sons,737.30,201 4-10-08 20:26:26
411,Carroll PLC,1274.90,2014 -06-20 16:14:34
412,Waelchi -Fahey,1061.99,2014 -06-16 14:44:12
413,Heidenreich -Bosco,836.10,2014 -05-16 07:08:48
414,Waters -Walker,856.44,2013 -12-03 07:38:11
415,Kilback -Gerlach,568.96,2014 -10-21 15:55:43
416,Cole -Eichmann,270.4 5,2014 -10-19 21:08:59
417,Gorczany -Hahn,1064.20,2013 -12-15 18:40:06
418,Kilback -Gerlach,321.20,2013 -12-26 04:44:50
419,Huel -Haag,215.91,2014 -08-04 09:20:38
420,Hami ll-Hackett,906.49,2013 -12-16 00:12:31
421,Kunze Inc,691.02,2013 -12-29 01:08:35
422,Huel -Haag, 317.95,2014 -02-08 20:17:34
423,Cole -Eichmann,1065.00,2013 -12-10 12:10:01
424,Koelpin PLC,638.40,2014 -02-28 18:14:54
425,Carroll PLC,761.36,2014 -07-18 09:26:00
426,Koelpin PLC,188.04,2014 -01-14 23:34:45
427,Hamill -Hackett,721.50,2014 -04-07 09:45:23
428,Hamill -Hackett,1001 .44,2014 -05-30 04:37:34
429,Koelpin PLC,535.50,2014 -10-10 12:44:46
430,Hegmann and Sons,686.07,2014 -03-22 11:25:47
431,Carroll PLC,473.88,2014 -05-22 17:50:01
432,Berge LLC,529.86,2013 -12-23 16:08:03
433,Berge LLC,641.19,2014 -04-23 09:49:39
434,Kunze Inc,1368.50,2014 -08-21 15:51:34
435,Waelchi -Fahey,163.20,2014 -04-26 23:38:33
436,Hegmann and Sons,515.83,2014 -09-11 02:00:52
437,Berge LLC,362.04,2013 -12-07 09:43:31
438,Huel -Haag,715.54,2013 -12-18 06:44:56
439,Cole -Eichmann,265.20,2013 -11-04 20:12:32
440,Kunze Inc,937.64,20 14-07-15 19:12:33
441,Cole -Eichmann,106.76,2014 -09-12 09:29:52
442,Huel -Haag,597.12,2014 -03-06 03:36:31
443,Kunze Inc,799.59,2013 -10-23 15:54:16
444,Hamill -Hackett,152.58,2014 -10-04 23:43:05
445,Hamill -Hackett,104.76,2014 -05-22 06:36:25
446,Waters -Walker,494.23,2014 -06-19 04:21:18
447,Kunze Inc,807.66,2014 -07-12 18:59:33
448,Cole -Eichmann,374.22,2014 -06-21 21:58:56
449,Kunze Inc,644.80,2013 -12-05 20:18:00
450,Hegmann and Sons,1283.45,2014 -06-21 20:12:03
451,Cole -Eichmann,1898.10,2014 -04-23 22:30:58
452,Koelpin PLC,132.75,2013 -11-22 05:59:05
453,Berge LLC,83.65,2014 -03-01 13:41:40
454,Heidenreich -Bosco,288.78,2013 -11-04 03:41:41
455,Carroll PLC,166.80,2013 -11-27 18:35:28
456,Carroll PLC,1492.64,2014 -07-19 20:45:37
457,Koelpin PLC,127.30,2013 -10-23 07:39:47
458,Waelchi -Fahey,95.03,2014 -03-31 10:31:43
459,Heidenreich -Bosco,1324.32,2014 -07-21 08:11:22
460,Hamill -Hackett, 432.36,2014 -08-10 14:34:54
461,Waelchi -Fahey,218.20,2014 -01-30 19:04:33
462,Waelchi -Fahey,283.14,2014 -02-06 22:09:58
463,Waelchi -Fahey,50.64,2014 -06-01 03:07:50
464,Hegmann and Sons,24.90,2014 -07-05 14:02:45
465,Kunze Inc,868.42,2014 -03-29 03:29:59
466,Kilback -Gerlach,377.28,2013 -12-15 21:44:27
467,Hegmann and Sons,147.92,2013 -12-08 04:33:54
468,Gorczany -Hahn,331.38,2014 -05-07 04 :59:51
469,Gorczany -Hahn,473.10,2014 -02-14 22:33:04
470,Gorczany -Hahn,315.98,2014 -04-13 09:02:34
471,Carroll PLC,94.14,2014 -05-09 02:08:03
